trace,run,timestamp_s,cpu_percent,thread_count,memory_footprint_mb
native_mb_05min,3,299.280598041,60.977099203,14.0,293.2355041503906
native_mb_05min,4,0.0,,1.0,0.06267547607421875
native_mb_05min,4,0.12797150000000002,63.790661442,12.0,35.6728515625
native_mb_05min,4,1.1115727910000002,122.758581438,13.0,60.954139709472656
native_mb_05min,4,2.102586,124.502879641,17.0,257.89183044433594
native_mb_05min,4,3.159828,49.015511158,17.0,257.01683044433594
native_mb_05min,4,4.170903916,50.000855106,17.0,257.01683044433594
native_mb_05min,4,5.1795536250000005,50.959147816,16.0,256.96995544433594
native_mb_05min,4,6.286681541,52.238459986,16.0,256.96995544433594
native_mb_05min,4,7.297899375,55.620526925,15.0,285.92308044433594
native_mb_05min,4,8.372535708000001,47.101474568,15.0,285.67308044433594
native_mb_05min,4,9.426756916,48.889772346,14.0,285.61058044433594
native_mb_05min,4,10.438805708,57.926571468,15.0,285.90745544433594
native_mb_05min,4,11.482574125000001,63.055311467,15.0,285.68870544433594
native_mb_05min,4,12.488193833,60.292249179,13.0,285.56370544433594
native_mb_05min,4,13.550230041,54.930519836,13.0,285.56370544433594
native_mb_05min,4,14.579602708000001,50.311167919,13.0,285.56370544433594
native_mb_05min,4,15.585130208,50.269321673,13.0,285.57933044433594
native_mb_05min,4,16.588478833,49.508913729,13.0,285.57933044433594
native_mb_05min,4,17.598252416,50.711358344,13.0,285.57933044433594
native_mb_05min,4,18.610195083,56.837267572,13.0,285.56370544433594
native_mb_05min,4,19.624996000000003,61.875568822,13.0,285.57933044433594
native_mb_05min,4,20.6360795,59.640944939,13.0,285.56370544433594
native_mb_05min,4,21.703893625000003,54.283290206,13.0,285.57933044433594
native_mb_05min,4,22.781269208,48.649012939,13.0,285.57933044433594
native_mb_05min,4,23.794439041,50.745293896,13.0,285.57933044433594
native_mb_05min,4,24.8697425,51.53344213,13.0,285.56370544433594
native_mb_05min,4,25.919439583000003,49.35113489,13.0,285.57933044433594
native_mb_05min,4,26.888329916,57.411675379,13.0,285.57933044433594
native_mb_05min,4,27.948263833000002,64.129018795,13.0,285.57933044433594
native_mb_05min,4,28.97467625,58.834928042,13.0,285.57933044433594
native_mb_05min,4,30.041641916000003,51.189235554,13.0,285.56370544433594
native_mb_05min,4,31.084030750000004,50.01228167,13.0,285.57933044433594
native_mb_05min,4,32.096525833,49.691070734,13.0,285.57933044433594
native_mb_05min,4,33.126451583000005,49.914779695,13.0,285.56370544433594
native_mb_05min,4,34.140719291,55.713316498,13.0,285.57933044433594
native_mb_05min,4,35.153735208,55.202186753,13.0,285.57933044433594
native_mb_05min,4,36.183199333000005,64.29404285,13.0,285.57933044433594
native_mb_05min,4,37.270404666000005,56.353277719,13.0,285.57933044433594
native_mb_05min,4,38.297376833,53.124510609,13.0,285.56370544433594
native_mb_05min,4,39.325415333,48.860298035,13.0,285.56370544433594
native_mb_05min,4,40.372166541000006,47.898157806,13.0,285.59495544433594
native_mb_05min,4,41.389982458000006,51.364355701,13.0,285.59495544433594
native_mb_05min,4,42.452863958,57.629903815,13.0,285.59495544433594
native_mb_05min,4,43.532115583,54.894822856,13.0,285.59495544433594
native_mb_05min,4,44.483268625,59.721658695,13.0,285.59495544433594
native_mb_05min,4,45.525588583,56.336532767,13.0,285.59495544433594
native_mb_05min,4,46.552165875,53.263900708,13.0,285.59495544433594
native_mb_05min,4,47.61849275,45.828349528,13.0,285.59495544433594
native_mb_05min,4,48.585334541,47.369301081,13.0,285.59495544433594
native_mb_05min,4,49.598594833,48.149463841,13.0,285.59495544433594
native_mb_05min,4,50.633186583000004,56.395677886,13.0,285.59495544433594
native_mb_05min,4,51.642998166000005,55.471284674,13.0,285.57933044433594
native_mb_05min,4,52.696482791,57.525406303,14.0,285.76683044433594
native_mb_05min,4,53.686971791000005,55.494872861,14.0,285.68870544433594
native_mb_05min,4,54.75157062500001,53.175010067,13.0,285.62620544433594
native_mb_05min,4,55.775555125000004,48.517815068,13.0,285.62620544433594
native_mb_05min,4,56.811899958000005,47.196423874,13.0,285.62620544433594
native_mb_05min,4,57.850929833,52.366994491,13.0,285.64183044433594
native_mb_05min,4,58.874288666000005,56.699767962,13.0,285.64183044433594
native_mb_05min,4,59.982466041,58.6724816,13.0,285.64183044433594
native_mb_05min,4,60.986463500000006,63.398708689,13.0,285.64183044433594
native_mb_05min,4,62.056444166000006,51.919711012,13.0,285.64183044433594
native_mb_05min,4,63.07877108300001,48.338957006,13.0,285.64183044433594
native_mb_05min,4,64.090217916,46.202842895,13.0,285.64183044433594
native_mb_05min,4,65.10041841600001,47.870622662,13.0,285.64183044433594
native_mb_05min,4,66.11995837500001,49.65700861,13.0,285.64183044433594
native_mb_05min,4,67.130135916,49.889098437,13.0,285.64183044433594
native_mb_05min,4,68.133308833,58.004057764,13.0,285.64183044433594
native_mb_05min,4,69.185418708,61.691261536,13.0,285.64183044433594
native_mb_05min,4,70.255279208,57.322159596,13.0,285.64183044433594
native_mb_05min,4,71.320296,47.877713225,13.0,285.64183044433594
native_mb_05min,4,72.293240458,53.145912629,13.0,285.64183044433594
native_mb_05min,4,73.318822916,49.088212314,13.0,285.64183044433594
native_mb_05min,4,74.3915995,46.064447945,13.0,285.64183044433594
native_mb_05min,4,75.38029750000001,60.551884349,13.0,285.64183044433594
native_mb_05min,4,76.432285416,60.428608115,13.0,285.64183044433594
native_mb_05min,4,77.479787916,57.851843278,13.0,285.64183044433594
native_mb_05min,4,78.54987954100001,54.51512819,13.0,285.64183044433594
native_mb_05min,4,79.58840645800001,47.861082662,13.0,285.64183044433594
native_mb_05min,4,80.600887875,50.22295888,13.0,285.64183044433594
native_mb_05min,4,81.607384083,49.853136806,13.0,285.64183044433594
native_mb_05min,4,82.616064416,50.866507346,13.0,285.64183044433594
native_mb_05min,4,83.638256666,57.994967939,13.0,285.64183044433594
native_mb_05min,4,84.691897416,62.439373567,13.0,285.64183044433594
native_mb_05min,4,85.7766005,58.006868855,13.0,285.64183044433594
native_mb_05min,4,86.82241079100001,52.211965033,13.0,285.64183044433594
native_mb_05min,4,87.883674208,48.225251855,13.0,285.64183044433594
native_mb_05min,4,88.909693708,46.045387335,14.0,285.71995544433594
native_mb_05min,4,89.971439875,48.248213864,14.0,285.75120544433594
