trace,run,timestamp_s,memory_anonymous_mb
native_mb_02min,2,56.697254958,84.828125
native_mb_02min,2,57.757943541,84.828125
native_mb_02min,2,58.789958083,84.828125
native_mb_02min,2,59.80182816600001,84.8125
native_mb_02min,2,60.870590583,84.8125
native_mb_02min,2,61.89815341600001,84.8125
native_mb_02min,2,62.902919291,84.8125
native_mb_02min,2,63.971349541,84.8125
native_mb_02min,2,65.019678041,84.8125
native_mb_02min,2,66.066494958,84.8125
native_mb_02min,2,67.085892958,84.8125
native_mb_02min,2,68.121567041,84.8125
native_mb_02min,2,69.121520458,84.8125
native_mb_02min,2,70.151694625,84.8125
native_mb_02min,2,71.21589554100001,84.8125
native_mb_02min,2,72.25026258300001,84.8125
native_mb_02min,2,73.30025570800001,84.8125
native_mb_02min,2,74.30600795800001,84.8125
native_mb_02min,2,75.382279958,84.8125
native_mb_02min,2,76.404379625,84.8125
native_mb_02min,2,77.491469333,84.8125
native_mb_02min,2,78.51773283300001,84.890625
native_mb_02min,2,79.56192112500001,84.890625
native_mb_02min,2,80.59476512500001,84.890625
native_mb_02min,2,81.621736083,84.90625
native_mb_02min,2,82.638531666,84.890625
native_mb_02min,2,83.635610125,84.828125
native_mb_02min,2,84.651701333,84.828125
native_mb_02min,2,85.705664416,84.84375
native_mb_02min,2,86.71270637500001,84.84375
native_mb_02min,2,87.78172129100001,84.84375
native_mb_02min,2,88.81225779100001,84.84375
native_mb_02min,2,89.814755625,84.84375
native_mb_02min,2,90.876902083,84.8125
native_mb_02min,2,91.910848458,84.828125
native_mb_02min,2,92.984421208,84.8125
native_mb_02min,2,94.01829537500001,84.828125
native_mb_02min,2,95.083229083,84.8125
native_mb_02min,2,96.110900625,84.828125
native_mb_02min,2,97.13271750000001,84.8125
native_mb_02min,2,98.118816291,84.8125
native_mb_02min,2,99.165620833,84.8125
native_mb_02min,2,100.16082650000001,84.828125
native_mb_02min,2,101.218748375,84.8125
native_mb_02min,2,102.256349708,84.8125
native_mb_02min,2,103.329780916,84.8125
native_mb_02min,2,104.311881583,84.828125
native_mb_02min,2,105.339399541,84.828125
native_mb_02min,2,106.371964125,84.828125
native_mb_02min,2,107.41694050000001,84.828125
native_mb_02min,2,108.483328958,84.8125
