trace,framework,ar_mode,session,run,run_duration_s,fps_mean,fps_p5,fps_stdev,fps_frames_below_55_pct,pct_nominal,pct_fair,pct_serious,pct_critical,dominant_state,hang_count,duration_total_ms,duration_max_ms,cpu_percent_mean,cpu_percent_max,thread_count_mean,memory_footprint_peak_mb,memory_growth_mb,memory_anonymous_mb_max,gpu_device_util_mean,gpu_in_use_sys_mem_mean
native_mb_02min,Xcode,Markerbased,2 min,6,121.2,33.09090909090909,29.0,9.161513703167907,94.21487603305785,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,52.929865479649564,121.264480784,13.076271186440678,293.21984100341797,293.15716552734375,78.984375,34.586776859504134,257.311854338843
native_mb_02min,Xcode,Markerbased,2 min,7,120.9,33.233333333333334,29.0,7.612167762156566,95.83333333333334,0.0,0.0,100.0,0.0,Serious,2,225.965333,118.375333,54.72303174010256,142.852941382,13.203389830508474,289.7199172973633,289.65724182128906,74.140625,29.85,233.0046875
native_mb_02min,Xcode,Markerbased,2 min,8,121.0,33.06666666666667,29.0,7.095664830285708,97.5,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,54.24451472251281,120.792731103,13.14406779661017,285.9231185913086,285.8604431152344,71.390625,29.65,233.91536458333334
native_mb_02min,Xcode,Markerbased,2 min,9,121.0,31.883333333333333,29.0,6.240533446996437,97.5,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,54.77908362369829,121.996027508,13.11965811965812,285.9231185913086,285.8604431152344,71.421875,28.983333333333334,233.507421875
native_mb_02min,Xcode,Markerbased,2 min,10,120.9,31.446280991735538,29.0,6.978479315274855,95.86776859504133,0.0,0.0,100.0,0.0,Serious,1,413.78202899999997,413.78202899999997,53.66675650786207,125.419677309,12.863247863247864,285.8136672973633,285.75099182128906,71.359375,33.52066115702479,248.15302169421489
native_mb_05min,Xcode,Markerbased,5 min,1,300.7,58.919732441471574,59.0,6.535415541800774,1.6722408026755853,79.10068893879976,20.899311061200237,0.0,0.0,Nominal,1,112.48020799999999,112.48020799999999,70.04913613261725,116.928262691,13.738831615120274,307.7042541503906,307.6415786743164,87.84375,50.31103678929766,252.5873223244147
native_mb_05min,Xcode,Markerbased,5 min,2,300.7,41.65217391304348,29.0,14.18972902094235,63.54515050167224,0.0,35.57734948331574,64.42265051668427,0.0,Serious,1,155.61933299999998,155.61933299999998,56.16620963139518,115.160856317,13.321917808219178,293.6261672973633,293.56349182128906,76.703125,36.22742474916388,256.70197533444815
native_mb_05min,Xcode,Markerbased,5 min,3,301.1,36.56521739130435,29.0,12.707271904884344,78.26086956521739,0.0,19.924653163934668,80.07534683606534,0.0,Serious,1,102.684833,102.684833,55.50906680161169,122.173366406,13.356164383561644,293.3448791503906,293.2822036743164,77.78125,30.729096989966557,252.61716137123747
native_mb_05min,Xcode,Markerbased,5 min,4,300.7,31.354515050167223,29.0,4.9011782601594875,98.66220735785953,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,53.91963331580689,124.502879641,12.941580756013746,285.92308044433594,285.8604049682617,71.65625,27.959866220735787,231.25815217391303
native_mb_05min,Xcode,Markerbased,5 min,5,300.8,33.98996655518395,29.0,7.919259062111645,94.98327759197325,0.0,0.0,100.0,0.0,Serious,0,0.0,0.0,53.337711058958625,126.326645509,13.137457044673539,349.0324935913086,348.9698181152344,71.34375,28.2809364548495,245.5688754180602
