trace,run,timestamp_s,gpu_device_util_percent,gpu_in_use_sys_mem_mb
native_mb_02min,4,40.316422,48.0,260.765625
native_mb_02min,4,41.325444000000005,48.0,260.75
native_mb_02min,4,42.337154000000005,49.0,260.96875
native_mb_02min,4,43.348343,63.0,257.0
native_mb_02min,4,44.356122000000006,70.0,260.765625
native_mb_02min,4,45.366637000000004,59.0,260.9375
native_mb_02min,4,46.376981,55.0,260.765625
native_mb_02min,4,47.384693000000006,55.0,260.765625
native_mb_02min,4,48.392542000000006,54.0,260.765625
native_mb_02min,4,49.406479000000004,55.0,260.9375
native_mb_02min,4,50.414034,54.0,260.765625
native_mb_02min,4,51.427989000000004,55.0,260.765625
native_mb_02min,4,52.441594,55.0,260.765625
native_mb_02min,4,53.450416000000004,55.0,260.765625
native_mb_02min,4,54.457194,54.0,260.75
native_mb_02min,4,55.46683,55.0,260.765625
native_mb_02min,4,56.477016000000006,52.0,256.796875
native_mb_02min,4,57.480291,53.0,260.765625
native_mb_02min,4,58.483256000000004,53.0,261.0
native_mb_02min,4,59.490219,54.0,261.09375
native_mb_02min,4,60.498425000000005,54.0,256.78125
native_mb_02min,4,61.503677,55.0,260.75
native_mb_02min,4,62.51097300000001,54.0,260.75
native_mb_02min,4,63.517292000000005,53.0,260.765625
native_mb_02min,4,64.52635000000001,48.0,260.75
native_mb_02min,4,65.534417,45.0,260.75
native_mb_02min,4,66.541656,46.0,260.75
native_mb_02min,4,67.551023,45.0,260.765625
native_mb_02min,4,68.558614,45.0,260.765625
native_mb_02min,4,69.566077,46.0,260.75
native_mb_02min,4,70.574348,45.0,260.765625
native_mb_02min,4,71.583827,46.0,261.0
native_mb_02min,4,72.59357200000001,46.0,260.75
native_mb_02min,4,73.60096,45.0,260.765625
native_mb_02min,4,74.60447500000001,45.0,260.75
native_mb_02min,4,75.60991100000001,45.0,260.765625
native_mb_02min,4,76.61930600000001,46.0,256.78125
native_mb_02min,4,77.62182,46.0,260.765625
native_mb_02min,4,78.630707,45.0,260.765625
native_mb_02min,4,79.636745,45.0,260.765625
native_mb_02min,4,80.640888,46.0,260.765625
native_mb_02min,4,81.647163,46.0,260.75
native_mb_02min,4,82.653988,45.0,260.765625
native_mb_02min,4,83.663334,46.0,260.75
native_mb_02min,4,84.671092,46.0,261.015625
native_mb_02min,4,85.67654800000001,46.0,260.75
native_mb_02min,4,86.68415800000001,46.0,260.75
native_mb_02min,4,87.68987200000001,46.0,260.765625
